,TITLE,LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,AMENITIES,CITY,LA_N,RA_N,BY_N,PRICE_N
2884,House on sale at Imadol,"Imadol, Lalitpur",Rs. 1.75 Cr ,3.0 aana,13 Feet,East,2.5,5.0,5.0,2076 B.S,"['Bathroom', 'Drainage', 'Parking']", Lalitpur,3.0,13,2076,17500000.0
2885,House on sale at Imadol,"Imadol, Lalitpur",Rs. 1.85 Cr ,3.0 aana,12 Feet,North,2.5,5.0,3.0,2060 B.S,"['Parquet', 'Marbel', 'Bathroom', 'Power Backup', 'Parking']", Lalitpur,3.0,12,2060,18500000.0
2886,"House on sale at Imadol, Shital Height","Imadol, Lalitpur",Rs. 1.98 Cr ,3.1 aana,13 Feet,East,2.5,5.0,4.0,2074 B.S,"['Bathroom', 'Parquet', 'Power Backup', 'Water Purifier', 'Marbel', 'Parking']", Lalitpur,3.1,13,2074,19800000.0
2887,"House on sale at Bhatkyapati, Kirtipur","Bhatkepati, Kathmandu",Rs. 1.75 Cr ,3.3 aana,13 Feet,South,2.0,5.0,2.0,2077 B.S,"['Power Backup', 'Bathroom']", Kathmandu,3.3,13,2077,17500000.0
2888,House for rent at Kriti colony Chovar,"Chobhar, Kathmandu","Rs. 55,000 /m",7.3 aana,20 Feet,North,2.5,4.0,4.0,2076 B.S,"['Parquet', 'Parking', 'Bathroom', 'Drainage']", Kathmandu,7.3,20,2076,55000.0
2890,Semi bungalow on sale in Dhapasi,"Dhapasi, Kathmandu",Rs. 3.25 Cr ,5.0 aana,13 Feet,South,2.0,5.0,2.0,2070 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Kathmandu,5.0,13,2070,32500000.0
2891,"Semi bungalow on sale at Milan Chowk, New Baneshwor","New Baneshwor, Kathmandu",Rs. 4.25 Cr ,4.0 aana,13 Feet,North,2.5,4.0,4.0,2076 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,4.0,13,2076,42500000.0
2892,"Bungalow on sale in Tinkune, Subidha Marg","Tinkune, Kathmandu",Rs. 5 Cr ,10.0 aana,10-12 Feet,North,2.0,5.0,3.0,2076 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Garden', 'Parking']", Kathmandu,10.0,10-12,2076,50000000.0
2893,House on sale in Kadaghari,"Kadaghari, Kathmandu",Rs. 1.2 Cr ,3.0 aana,13 Feet,West,1.0,2.0,1.0,2075 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Kathmandu,3.0,13,2075,12000000.0
2894,House on sale in Kalanki,"Kalanki, Kathmandu",Rs. 2.8 Cr ,4.2 aana,13 Feet,East,2.5,4.0,4.0,2067 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,4.2,13,2067,28000000.0
2895,House on sale in Dharmasthali,"Dharmasthali, Kathmandu",Rs. 2.4 Cr ,5.0 aana,11 Feet,North-East,2.5,5.0,3.0,2073 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Kathmandu,5.0,11,2073,24000000.0
2896,"Bungalow on sale in Taulung, Budhanilkantha","Taulung, Kathmandu",Rs. 4.25 Cr ,6.0 aana,18 Feet,North-East,2.5,6.0,4.0,2071 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,6.0,18,2071,42500000.0
2897,House on sale in Matatirtha,"Matatirtha, Kathmandu",Rs. 3.3 Cr ,5.0 aana,13 Feet,North,2.5,4.0,4.0,2075 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,5.0,13,2075,33000000.0
2898,House on sale in Imadol,"Imadol, Lalitpur",Rs. 2.07 Cr ,3.1 aana,13 Feet,North,2.5,5.0,4.0,2068 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Lalitpur,3.1,13,2068,20700000.0
2899,House on sale in Imadol,"Imadol, Lalitpur",Rs. 1.82 Cr ,3.0 aana,13 Feet,South,2.0,4.0,2.0,2070 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Lalitpur,3.0,13,2070,18200000.0
2900,Brand new house on sale in Syuchatar Height,"Syuchatar, Kathmandu",Rs. 2.24 Cr ,4.0 aana,13 Feet,North,2.0,6.0,3.0,2076 B.S,"['Marbel', 'Parking', 'Modular Kitchen', 'Garden', 'Drinking Water', 'Bathroom', 'Drainage']", Kathmandu,4.0,13,2076,22400000.000000004
2901,Brand new house on sale in Syuchatar,"Syuchatar, Kathmandu",Rs. 2.45 Cr ,4.0 aana,12 Feet,North-East,2.5,6.0,3.0,2076 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Garden']", Kathmandu,4.0,12,2076,24500000.0
2902,House on sale in Hattigauda,"Hattigaunda, Kathmandu",Rs. 3.25 Cr ,5.0 aana,12 Feet,West,2.5,7.0,3.0,2076 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Kathmandu,5.0,12,2076,32500000.0
2903,House on sale in Budhanilkantha,"Budhanilkantha, Kathmandu",Rs. 2.99 Cr ,3 aana,10 Feet,North East,3.0,4.0,3.0,2076 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking', 'Parquet', 'Modular Kitchen']", Kathmandu,3,10,2076,29900000.000000004
2904,"Brand new house on sale in Kapan, Ram Mandir","Ram Mandir, Kathmandu",Rs. 2.65 Cr ,2.5 aana,10 Feet,West,2.5,5.0,3.0,2068 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Kathmandu,2.5,10,2068,26500000.0
2905,"House on sale in Thankot, Check Post","Thankot, Kathmandu",Rs. 1.15 Cr ,2.2 aana,13-14 Feet,West,2.0,4.0,2.0,2074 B.S,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']", Kathmandu,2.2,13-14,2074,11500000.0
2906,House on sale in Mahadevsthan,"Mahadevsthan, Kathmandu",Rs. 1.1 Cr ,2.2 aana,10 Feet,West,1.5,2.0,1.0,2076 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Kathmandu,2.2,10,2076,11000000.0
2907,"House on sale in Mahadevsthan, Thankot","Mahadevsthan, Kathmandu",Rs. 1.15 Cr ,3.2 aana,15 Feet,West,1.5,2.0,1.0,2070 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Kathmandu,3.2,15,2070,11500000.0
2908,House on sale in Thankot,"Thankot, Kathmandu",Rs. 1.2 Cr ,3.2 aana,15-16 Feet,South,1.5,4.0,3.0,2076 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,3.2,15-16,2076,12000000.0
2909,"House on sale in Katunje, Bhaktapur","Katunje, Bhaktapur",Rs. 1.4 Cr ,2.2 aana,15 Feet,East,2.5,4.0,4.0,2074 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Bhaktapur,2.2,15,2074,14000000.0
2910,"House on sale in Katunje, Bhaktapur","Katunje, Bhaktapur",Rs. 1.35 Cr ,5.0 aana,13 Feet,South,2.0,5.0,5.0,2075 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Bhaktapur,5.0,13,2075,13500000.0
2911,"House on sale in Balkot, Bhaktapur","Balkot, Bhaktapur",Rs. 2.5 Cr ,3.3 aana,20 Feet,North East,2.5,6.0,4.0,2076 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Bhaktapur,3.3,20,2076,25000000.0
2912,House on sale in Khumaltar,"Khumaltar, Lalitpur",Rs. 2.1 Cr ,4.2 aana,13 Feet,North East,2.5,3.0,3.0,2070 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Lalitpur,4.2,13,2070,21000000.0
2913,"House on sale in Mahadevsthan, Thankot","Mahadevsthan, Kathmandu",Rs. 1.15 Cr ,3.0 aana,13 Feet,West,1.5,5.0,4.0,2070 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Kathmandu,3.0,13,2070,11500000.0
2914,"House on sale in Chamati, Swoyambhu","Chamati, Kathmandu",Rs. 3 Cr ,4.2 aana,12 Feet,West,3.5,6.0,6.0,2071 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Kathmandu,4.2,12,2071,30000000.0
2915,Commercial house on sale in Kalimati,"Kalimati, Kathmandu",Rs. 5 Cr ,3.0 aana,15 Feet,East,5.0,6.0,6.0,2077 B.S,"['Bathroom', 'Drinking Water', 'Drainage']", Kathmandu,3.0,15,2077,50000000.0
2916,Commercial house on sale in Kalimati,"Kalimati, Kathmandu",Rs. 2.25 Cr ,3.0 aana,20 Feet,West,2.0,4.0,4.0,2079 B.S,"['Drainage', 'Bathroom', 'Drinking Water']", Kathmandu,3.0,20,2079,22500000.0
2917,Bungalow on sale in Ichangunarayan,"Ichangu Narayan, Kathmandu",Rs. 2.9 Cr ,5.0 aana,12 Feet,West,3.0,6.0,5.0,2079 B.S,"['Parking', 'Garden', 'Bathroom', 'Drinking Water', 'Drainage']", Kathmandu,5.0,12,2079,29000000.0
2918,House on sale in Sanobharyang,"Syuchatar, Kathmandu",Rs. 2.85 Cr ,3.2 aana,15 Feet,South,3.5,7.0,4.0,2079 B.S,"['Drainage', 'Bathroom', 'Drinking Water']", Kathmandu,3.2,15,2079,28500000.0
2919,House on sale in Maitidevi,"Maitidevi, Kathmandu",Rs. 4.65 Cr ,3.2 aana,18 Feet,West,4.5,8.0,5.0,2079 B.S,"['Garden', 'Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Kathmandu,3.2,18,2079,46500000.0
2925,House on sale in Tokha,"Grande Hospital, Kathmandu",Rs. 2.45 Cr ,3.2 aana,12 Feet,North,2.5,5.0,3.0,2078 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Power Backup']", Kathmandu,3.2,12,2078,24500000.0
2926,House on sale in Nepaltar,"Manamaiju, Kathmandu",Rs. 2.25 Cr ,3.2 aana,13 Feet,North,3.5,6.0,4.0,2073 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,3.2,13,2073,22500000.0
2927,House on sale in Basundhara,"Basundhara, Kathmandu",Rs. 2.85 Cr ,3.1 aana,10 Feet,West,2.5,7.0,4.0,2079 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,3.1,10,2079,28500000.0
2928,House on sale in Samakhusi,"Samakhusi, Kathmandu",Rs. 2.5 Cr ,3.0 aana,10 Feet,South,2.5,6.0,4.0,2079 B.S,"['Bathroom', 'Drinking Water', 'Drainage']", Kathmandu,3.0,10,2079,25000000.0
2929,House on sale in Tokha,"Panchetar, Kathmandu",Rs. 1.55 Cr ,4.2 aana,10 Feet,East,1.0,2.0,1.0,2079 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Kathmandu,4.2,10,2079,15500000.0
2930,"House on sale at Baluwakhani, Kapan","Baluwakhani, Kathmandu",Rs. 1.7 Cr ,3.3 aana,13 Feet,North,3.5,8.0,4.0,2073 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Kathmandu,3.3,13,2073,17000000.0
2931,House on sale in Imadol,"Imadol, Lalitpur",Rs. 1.9 Cr ,3.0 aana,13 Feet,North East,2.5,4.0,3.0,2078 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Internet']", Lalitpur,3.0,13,2078,19000000.0
2932,"House on sale at Dhungeadda, Chandagiri","Dhungeadda, Kathmandu",Rs. 1.6 Cr ,3.2 aana,20 Feet,West,2.5,4.0,4.0,2078 B.S,"['Drainage', 'Bathroom', 'Drinking Water']", Kathmandu,3.2,20,2078,16000000.0
2933,"House on sale at Dhungeadda, Chandragiri","Dhungeadda, Kathmandu",Rs. 1.55 Cr ,3.0 aana,20 Feet,East,2.5,5.0,5.0,2079 B.S,"['Bathroom', 'Drinking Water', 'Drainage']", Kathmandu,3.0,20,2079,15500000.0
2934,"House on sale at Dhungeadda, Chandragiri","Dhungeadda, Kathmandu",Rs. 1.65 Cr ,3.0 aana,13 Feet,East,2.5,6.0,4.0,2078 B.S,"['Drainage', 'Bathroom', 'Drinking Water']", Kathmandu,3.0,13,2078,16500000.0
2935,"House on sale in Tinthana, Chandragiri","Tinthana, Kathmandu",Rs. 1.8 Cr ,3.0 aana,20 Feet,North,2.5,3.0,3.0,2079 B.S,"['Drainage', 'Bathroom', 'Drinking Water']", Kathmandu,3.0,20,2079,18000000.0
2936,"House on sale in Dhungeadda, Chandragiri","Dawadi Gaun, Kathmandu",Rs. 1.9 Cr ,3.0 aana,13 Feet,South,2.5,5.0,4.0,2078 B.S,"['Bathroom', 'Drinking Water', 'Drainage']", Kathmandu,3.0,13,2078,19000000.0
2937,"House on sale/rent in Maitidevi, Kathmandu","Maitidevi, Kathmandu",Rs. 10 Cr ,14.0 aana,13 Feet,South,3.5,8.0,6.0,2047 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Kathmandu,14.0,13,2047,100000000.0
2938,Brand new house on sale in Bafal,"Bafal, Kathmandu",Rs. 2.25 Cr ,3.2 aana,13 Feet,East,2.5,6.0,6.0,2079 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,3.2,13,2079,22500000.0
2939,House on sale at Putalisadak,"Putalisadak, Kathmandu",Rs. 5 Cr ,5.0 aana,15 Feet,West,4.0,4.0,4.0,2079 B.S,"['Drinking Water', 'Bathroom', 'Drainage']", Kathmandu,5.0,15,2079,50000000.0
2940,"House on sale in Thankot, Chandragiri","Thankot, Kathmandu",Rs. 1.28 Cr ,3.0 aana,13 Feet,West,2.5,6.0,5.0,2079 B.S,"['Earthquake Resistant', 'Bathroom', 'Drinking Water', 'Drainage']", Kathmandu,3.0,13,2079,12800000.0
2941,"House on sale in Mahadevsthan, Chandragiri","Mahadevsthan, Kathmandu",Rs. 1.2 Cr ,4.0 aana,13 Feet,West,1.0,2.0,1.0,2074 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Kathmandu,4.0,13,2074,12000000.0
2942,House on sale in Thankot,"Thankot, Kathmandu",Rs. 9800000 ,3.2 aana,13 Feet,East,1.0,3.0,1.0,2074 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Kathmandu,3.2,13,2074,9800000.0
2943,"House on sale in Thankot, Chandragiri","Thankot, Kathmandu",Rs. 1.7 Cr ,3.0 aana,13 Feet,North,2.5,4.0,3.0,2074 B.S,"['Drainage', 'Bathroom', 'Drinking Water']", Kathmandu,3.0,13,2074,17000000.0
2947,Commercial house on sale in Balaju,"Balaju, Kathmandu",Rs. 26 Cr ,18.0 aana,15 Feet,North,5.0,10.0,6.0,2070 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,18.0,15,2070,260000000.0
2948,"Commercial house on sale in Ratopool, Gaushala","Ratopool, Kathmandu",Rs. 15 Cr ,15.0 aana,20 Feet,West,6.5,12.0,7.0,2076 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,15.0,20,2076,150000000.0
2949,"House on sale in Manjushree Marga, Lalitpur","Bungamati, Lalitpur",Rs. 2.5 Cr ,3.2 aana,12-14 Feet,North-West,3.0,7.0,5.0,2074 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Lalitpur,3.2,12-14,2074,25000000.0
2950,Brand new bungalow on urgent sale at Gothatar,"Gothatar, Kathmandu",Rs. 6.25 Cr ,7.0 aana,14 Feet,West,3.5,6.0,8.0,2075 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Garden', 'Parking', 'CC Camera', 'Parquet', 'Marbel', 'Modular Kitchen']", Kathmandu,7.0,14,2075,62500000.0
2952,Brand new luxurious house on sale in Bhaisepati,"Bhaisepati, Lalitpur",Rs. 3.8 Cr ,4.0 aana,16 Feet,South-East,2.5,4.0,4.0,2070 B.S,"['Parking', 'Drainage', 'Garden', 'Drinking Water', 'Bathroom']", Lalitpur,4.0,16,2070,38000000.0
2953,"House on urgent sale in Bhaisepati, Lalitpur","Bhaisepati, Lalitpur",Rs. 2.55 Cr ,4.2 aana,12/14 Feet,South-East,3.0,4.0,4.0,2070 B.S,"['Internet', 'Parking', 'Drainage', 'Bathroom', 'Drinking Water', 'Garden']", Lalitpur,4.2,12/14,2070,25500000.0
2954,House on sale in Naxal,"Naxal, Kathmandu",Rs. 3.8 Cr ,4.0 aana,15 Feet,East,2.5,5.0,6.0,2060 B.S,"['Drainage', 'Bathroom', 'Drinking Water']", Kathmandu,4.0,15,2060,38000000.0
2956,"Bungalow on sale at Sanepa, Lalitpur","Sanepa, Lalitpur",Rs. 9.75 Cr ,16.0 aana,14 Feet,South,2.0,4.0,4.0,2076 B.S,"['Drainage', 'Garden', 'Bathroom', 'Drinking Water', 'Parking']", Lalitpur,16.0,14,2076,97500000.0
2957,House on sale in Golfutar,"Golfutar, Kathmandu",Rs. 4.3 Cr ,5.2 aana,12 Feet,East,2.5,5.0,5.0,2070 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,5.2,12,2070,43000000.0
2958,"House on urgent sale in Samakhusi, Sarkari Dhara","Samakhusi, Kathmandu",Rs. 3 Cr ,4.0 aana,12 Feet,East,2.5,6.0,6.0,2070 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Kathmandu,4.0,12,2070,30000000.0
2959,"House on sale in Mangal Colony, Bhaisepati","Bhaisepati, Lalitpur",Rs. 2.75 Cr ,3.2 aana,20 Feet,West,2.5,3.0,4.0,2075 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Lalitpur,3.2,20,2075,27500000.0
2961,"Bungalow on rent at Manbhawan, Lalitpur","Manbhawan, Lalitpur",Rs. 2.35 Lac/m,8.0 aana,0 Feet,North,2.5,5.0,5.0,2070 B.S,"['Parquet', 'Garden', 'Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Modular Kitchen']", Lalitpur,8.0,0,2070,2.35
2963,"House on sale at Pasikot, Budhanilkantha","Pasikot, Kathmandu",Rs. 3 Cr ,5.2 aana,20 Feet,East,2.5,4.0,5.0,2069 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']", Kathmandu,5.2,20,2069,30000000.0
2964,"House on sale in Nilopool, Sukedhara","Nilopool, Kathmandu",Rs. 2.6 Cr ,4.2 aana,12 Feet,South West,3.0,8.0,4.0,2076 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Kathmandu,4.2,12,2076,26000000.0
2965,House for sale at Pasikot,"Pasikot, Kathmandu",Rs. 3.2 Cr ,5.5 aana,14 Feet,East,3.0,4.0,6.0,2070 B.S,"['Bathroom', 'Parking']", Kathmandu,5.5,14,2070,32000000.0
2967,House on rent at Baluwatar,"Baluwatar, Kathmandu",Rs. 4.5 Lac/m,24.0 aana,20 Feet,West,2.5,6.0,6.0,2070 B.S,"['Drainage', 'Parking', 'Garden', 'Bathroom', 'Drinking Water', 'Power Backup']", Kathmandu,24.0,20,2070,4.5
2968,"House on rent in Bhaisepati, Lalitpur","Bhaisepati, Lalitpur",Rs. 1.1 Lac/m,10.0 aana,25 Feet,South,2.5,5.0,4.0,2076 B.S,"['Drinking Water', 'Bathroom', 'Drainage', 'Garden', 'Parking']", Lalitpur,10.0,25,2076,1.1
2971,"House on sale in Budhanilkantha, Hepali height","Hepali Height, Kathmandu",Rs. 4.1 Cr ,5.0 aana,14 Feet,West,3.0,6.0,3.0,2076 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,5.0,14,2076,41000000.0
2972,"House on sale at Baluwatar, Kathmandu","Baluwatar, Kathmandu",Rs. 13 Cr ,10.0 aana,16 Feet,North,2.0,4.0,4.0,2076 B.S,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water']", Kathmandu,10.0,16,2076,130000000.0
2973,House on rent at Maharajgunj,"Maharajgunj, Kathmandu",Rs. 3 Lac/m,32.0 aana,0 Feet,North,3.0,6.0,6.0,2071 B.S,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water', 'Garden']", Kathmandu,32.0,0,2071,3.0
2974,"House on rent in Bansbari, Kathmandu","Bansbari, Kathmandu","Rs. 90,000 /m",8.0 aana,0 Feet,West,2.0,4.0,3.0,2074 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Garden', 'Parking']", Kathmandu,8.0,0,2074,90000.0
2975,House on sale in Budhanilkantha,"Budhanilkantha, Kathmandu",Rs. 3.1 Cr ,4.2 aana,18-20 Feet,West,2.5,5.0,5.0,2068 B.S,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']", Kathmandu,4.2,18-20,2068,31000000.0
2976,House on sale at Dhapasi Height,"Dhapasi, Kathmandu",Rs. 2.5 Cr ,4.2 aana,20 Feet,North,2.5,11.0,5.0,2070 B.S,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']", Kathmandu,4.2,20,2070,25000000.0
2978,2 houses are on sale sale in Baluwatar,"Baluwatar, Kathmandu",Rs. 7 Cr ,5.2 aana,26 Feet,West,5.0,9.0,7.0,2066 B.S,"['Drainage', 'Parking', 'Garden']", Kathmandu,5.2,26,2066,70000000.0
2979,"House on urgent sale in Hepali height, Golfutar","Golfutar, Kathmandu",Rs. 2.2 Cr ,3.0 aana,26 Feet,West,2.5,3.0,4.0,2070 B.S,"['Bathroom', 'Drinking Water', 'Drainage']", Kathmandu,3.0,26,2070,22000000.0
2982,"House on rent at Bhaisepati, Lalitpur","Bhaisepati, Lalitpur",Rs. 1.1 Lac/m,10.0 aana,20 Feet,West,2.5,5.0,4.0,2072 B.S,"['Drainage', 'Parking', 'Bathroom', 'Drinking Water', 'Garden']", Lalitpur,10.0,20,2072,1.1
2986,House for sale at Bhangal,"Bhangal , Kathmandu",Rs. 1.9 Cr ,3.0 aana,10 Feet,East,2.5,6.0,4.0,2070 B.S,"['Balcony', 'Fencing', 'Gym', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Power Backup Water', 'Water Tank', 'Water Well', 'CCTV', 'Power Backup', 'Intercom', 'Internet', 'Maintenance', 'Parking', 'Security Staff', 'Store Room']", Kathmandu,3.0,10,2070,19000000.0
2987,House on sale at Chunikhel,"Chunikhel, Kathmandu",Rs. 1.3 Cr ,3.5 aana,13 Feet,East,1.0,2.0,1.0,2076 B.S,"['Lawn', 'Backyard', 'Frontyard', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']", Kathmandu,3.5,13,2076,13000000.0
2988,House for sale at Akashedhara,"Kapan, Kathmandu",Rs. 2 Cr ,4.3 aana,13 Feet,North,2.5,5.0,4.0,2058 B.S,"['Lawn', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Power Backup Water', 'Water Tank', 'Water Well', 'CCTV', 'Power Backup', 'Internet', 'Kids Playground', 'Maintenance', 'Parking', 'Store Room']", Kathmandu,4.3,13,2058,20000000.0
2989,House for sale at Gongabu,"Gongabu, Kathmandu",Rs. 1.85 Cr ,3.0 aana,12 Feet,North East,2.5,5.0,4.0,2079 B.S,"['Balcony', 'TV Cable', 'Wifi', 'Water Supply', 'Water Well', 'Water Tank', 'Internet', 'Kids Playground', 'Parking']", Kathmandu,3.0,12,2079,18500000.0
2990,House on sale at Kapan,"Kapan, Kathmandu",Rs. 1.25 Cr ,3.0 aana,6 Feet,West,2.0,4.0,2.0,2075 B.S,"['Garage', 'Balcony', 'Garden', 'TV Cable', 'Water Supply', 'Water Well', 'Parking']", Kathmandu,3.0,6,2075,12500000.0
2991,"House for sale at Kapan, Bhangal","Bhangal , Kathmandu",Rs. 1.8 Cr ,4.0 aana,13 Feet,West,2.0,4.0,2.0,2079 B.S,[], Kathmandu,4.0,13,2079,18000000.0
2992,Bungalow for sale at Chandol,"Chandol, Kathmandu",Rs. 4.6 Cr ,6.3 aana,13 Feet,West,2.5,5.0,3.0,2078 B.S,"['Backyard', 'Frontyard', 'Balcony', 'TV Cable', 'Power Backup Water', 'Drainage', 'Water Well', 'Water Tank']", Kathmandu,6.3,13,2078,46000000.0
2993,Bungalow on sale at Dhumbarahi ,"Chappal karkhana, Kathmandu",Rs. 3.85 Cr ,7.0 aana,12 Feet,West,3.5,7.0,4.0,2074 B.S,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Power Backup Water', 'Water Tank', 'Water Well', 'Power Backup', 'Internet', 'Parking', 'Store Room']", Kathmandu,7.0,12,2074,38500000.0
2994,House on sale at Sukedhara,"Sukedhara, Kathmandu",Rs. 4.5 Cr ,6.0 aana,12 Feet,South,2.5,4.0,3.0,2077 B.S,"['Balcony', 'Fencing', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Wifi', 'Water Supply', 'Water Tank', 'Water Well', 'Power Backup', 'Internet', 'Parking', 'Store Room']", Kathmandu,6.0,12,2077,45000000.0
2995,House on sale at Greenland Chowk,"Dhapasi, Kathmandu",Rs. 3.3 Cr ,5.0 aana,12 Feet,East,2.5,4.0,4.0,2078 B.S,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Water Supply', 'Power Backup Water', 'Water Tank', 'Power Backup', 'Internet', 'Parking', 'Store Room']", Kathmandu,5.0,12,2078,33000000.0
2996,House on sale at Karyabinayak Housing Colony,"Bhaisepati, Lalitpur",Rs. 2.8 Cr ,3.2 aana,24 Feet,South,2.5,4.0,4.0,2072 B.S,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Gym', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'CCTV', 'Water Tank', 'Water Well', 'Power Backup Water', 'Power Backup', 'Water Supply', 'Internet', 'Kids Playground']", Lalitpur,3.2,24,2072,28000000.0
2998,House on sale at Sundarbasti,"Bhangal , Kathmandu",Rs. 3.2 Cr ,5.0 aana,12 Feet,North East,3.0,5.0,5.0,2077 B.S,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Water Tank', 'Water Well', 'Power Backup Water', 'Power Backup', 'Water Supply', 'Internet']", Kathmandu,5.0,12,2077,32000000.0
2999,House on sale Sundarbasti,"Bhangal , Kathmandu",Rs. 1.9 Cr ,2.2 aana,10 Feet,West,3.0,6.0,4.0,2079 B.S,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Power Backup Water', 'Power Backup', 'Water Supply', 'Internet']", Kathmandu,2.2,10,2079,19000000.0
3000,House on sale at Thulo Bharyang ,"Swoyambhu, Kathmandu",Rs. 2.45 Cr ,3.1 aana,15 Feet,West,2.5,5.0,3.0,2079 B.S,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Internet', 'Water Well', 'Power Backup Water', 'Water Supply', 'Power Backup']", Kathmandu,3.1,15,2079,24500000.0
